order_id,order_date,product_id,customer_segment,region,warehouse_id,quantity,unit_price,unit_cost,planned_delivery_days,actual_delivery_days,carrier,order_status,product_name,category,supplier,risk_tier,active_contract,contract_terms_target_on_time_rate,contract_terms_max_defect_rate,contract_terms_payment_terms,revenue,cost,profit,profit_margin,delivery_variance_days,delivery_status,contract_validation_flag
ORD00001,2026-03-23,P002,Education,Midwest,WH_CHI,97,23.37,13.73,2,3,Internal Fleet,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,2266.89,1331.81,935.0799999999999,0.4124946512623021,1,Delayed,Pass
ORD00002,2026-01-12,P007,Retail,Midwest,WH_CHI,75,12.03,7.37,6,6,FedEx,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,902.25,552.75,349.5,0.3873649210307564,0,On Time,Pass
ORD00003,2026-03-13,P004,Healthcare,Northeast,WH_NJ,135,38.69,24.19,2,2,UPS,Delayed,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,5223.15,3265.65,1957.4999999999995,0.3747738433703799,0,On Time,Pass
ORD00004,2026-03-31,P007,Education,West,WH_LAX,106,16.66,13.47,4,5,FedEx,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,1765.96,1427.8200000000002,338.1399999999999,0.1914765906362544,1,Delayed,Pass
ORD00005,2026-01-12,P007,Education,Midwest,WH_CHI,63,68.56,48.88,2,2,Regional Carrier,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4319.28,3079.44,1239.8399999999997,0.28704784130688443,0,On Time,Pass
ORD00006,2026-03-10,P002,Retail,Northeast,WH_NJ,63,46.4,35.91,6,6,Unknown,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,2923.2,2262.33,660.8699999999999,0.22607758620689652,0,On Time,Pass
ORD00007,2026-03-15,P004,Retail,Midwest,WH_CHI,44,54.59,41.42,2,2,UPS,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,2401.96,1822.48,579.48,0.24125297673566587,0,On Time,Pass
ORD00008,2026-01-13,P007,Government,West,WH_LAX,90,52.68,34.16,4,4,DHL,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,4741.2,3074.3999999999996,1666.8000000000002,0.3515565679574792,0,On Time,Pass
ORD00009,2026-01-27,P005,Distribution,Midwest,WH_CHI,82,52.62,36.53,3,3,UPS,Delivered,Disposable Cups,Food Service,EcoServe,Low,True,0.91,0.06,Net 45,4314.84,2995.46,1319.38,0.30577727099961993,0,On Time,Pass
ORD00010,2026-03-01,P007,Distribution,West,WH_LAX,30,21.47,13.69,2,2,UPS,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,644.0999999999999,410.7,233.39999999999992,0.3623660922217046,0,On Time,Pass
ORD00011,2026-01-05,P006,Education,Northeast,WH_NJ,58,9.96,7.93,6,6,DHL,Delivered,Printer Toner,Office Supplies,InkLogic,Low,True,0.88,0.02,Net 60,577.6800000000001,459.94,117.74000000000007,0.2038152610441768,0,On Time,Pass
ORD00012,2026-01-28,P008,Government,Northeast,WH_NJ,69,15.72,9.24,6,6,Internal Fleet,Delivered,Face Masks,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,1084.68,637.5600000000001,447.12,0.41221374045801523,0,On Time,Pass
ORD00013,2026-02-03,P007,Education,Northeast,WH_NJ,108,21.45,17.57,6,6,Regional Carrier,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,2316.6,1897.56,419.03999999999996,0.1808857808857809,0,On Time,Pass
ORD00014,2026-01-12,P001,Healthcare,Midwest,WH_CHI,37,52.06,39.77,5,5,Internal Fleet,Delivered,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,1926.22,1471.49,454.73,0.23607376104494815,0,On Time,Pass
ORD00015,2026-01-09,P007,Distribution,Northeast,WH_NJ,105,79.71,55.23,6,6,FedEx,Delivered,Trash Bags,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,8369.55,5799.15,2570.3999999999996,0.3071132856605194,0,On Time,Pass
ORD00016,2026-03-29,P002,Education,West,WH_LAX,85,13.37,8.92,5,5,FedEx,Delivered,Nitrile Gloves,Healthcare Supplies,SafeHands,Low,True,0.87,0.03,Net 30,1136.45,758.2,378.25,0.33283470456245323,0,On Time,Pass
ORD00017,2026-02-03,P003,Education,Midwest,WH_CHI,28,68.13,46.81,3,4,UPS,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,1907.6399999999999,1310.68,596.9599999999998,0.3129311610157052,1,Delayed,Pass
ORD00018,2026-02-17,P003,Distribution,Midwest,WH_CHI,54,29.31,16.27,4,4,DHL,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,1582.74,878.5799999999999,704.1600000000001,0.44489935175707956,0,On Time,Pass
ORD00019,2026-01-31,P001,Distribution,South,WH_DAL,91,76.02,43.57,5,5,FedEx,Cancelled,Copy Paper,Office Supplies,NorthStar Paper,High,True,0.92,0.06,Net 60,6917.82,3964.87,2952.95,0.4268613522757169,0,On Time,Pass
ORD00020,2026-03-10,P003,Government,South,WH_DAL,66,76.01,45.19,6,7,Internal Fleet,Delivered,Cleaning Wipes,Janitorial,CleanPro,Medium,True,0.92,0.04,Net 45,5016.660000000001,2982.54,2034.1200000000008,0.4054729640836733,1,Delayed,Pass
ORD00021,2026-02-24,P004,Education,South,WH_DAL,116,34.92,25.54,4,5,Regional Carrier,Delivered,Paper Towels,Janitorial,DaxPro,High,True,0.94,0.05,Net 45,4050.7200000000003,2962.64,1088.0800000000004,0.2686139747995419,1,Delayed,Review Needed
