snapshot_date,product_id,warehouse_id,on_hand_units,reorder_point
2026-01-01,P001,WH_NJ,893,250
2026-01-01,P002,WH_CHI,1289,250
2026-01-01,P003,WH_CHI,1265,400
2026-01-01,P004,WH_LAX,799,250
2026-01-01,P005,WH_CHI,767,300
2026-01-01,P006,WH_LAX,1003,400
2026-01-01,P007,WH_DAL,680,300
2026-01-01,P008,WH_NJ,966,350
2026-01-04,P001,WH_DAL,1068,300
2026-01-04,P002,WH_CHI,1169,300
2026-01-04,P003,WH_LAX,877,250
2026-01-04,P004,WH_NJ,855,350
2026-01-04,P005,WH_LAX,706,400
2026-01-04,P006,WH_DAL,718,400
2026-01-04,P007,WH_NJ,850,300
2026-01-04,P008,WH_LAX,980,400
2026-01-07,P001,WH_NJ,1100,350
2026-01-07,P002,WH_CHI,723,300
2026-01-07,P003,WH_LAX,1228,400
2026-01-07,P004,WH_NJ,840,350
2026-01-07,P005,WH_DAL,895,350
2026-01-07,P006,WH_CHI,735,350
2026-01-07,P007,WH_DAL,366,250
2026-01-07,P008,WH_LAX,1094,350
2026-01-10,P001,WH_CHI,1062,400
2026-01-10,P002,WH_NJ,838,400
2026-01-10,P003,WH_CHI,914,350
2026-01-10,P004,WH_LAX,1013,400
2026-01-10,P005,WH_CHI,556,300
2026-01-10,P006,WH_DAL,783,350
2026-01-10,P007,WH_NJ,1074,400
2026-01-10,P008,WH_DAL,624,400
2026-01-13,P001,WH_NJ,964,300
2026-01-13,P002,WH_DAL,601,400
2026-01-13,P003,WH_CHI,1002,350
2026-01-13,P004,WH_DAL,892,400
2026-01-13,P005,WH_LAX,544,350
2026-01-13,P006,WH_NJ,1156,350
2026-01-13,P007,WH_CHI,738,300
2026-01-13,P008,WH_DAL,721,300
2026-01-16,P001,WH_CHI,944,350
2026-01-16,P002,WH_NJ,1152,400
2026-01-16,P003,WH_NJ,676,350
2026-01-16,P004,WH_LAX,913,300
2026-01-16,P005,WH_DAL,994,250
2026-01-16,P006,WH_CHI,1052,250
2026-01-16,P007,WH_CHI,938,300
2026-01-16,P008,WH_LAX,819,350
2026-01-19,P001,WH_NJ,717,300
2026-01-19,P002,WH_DAL,918,250
2026-01-19,P003,WH_DAL,664,250
2026-01-19,P004,WH_NJ,257,250
2026-01-19,P005,WH_LAX,996,300
2026-01-19,P006,WH_LAX,1098,400
2026-01-19,P007,WH_LAX,380,400
2026-01-19,P008,WH_CHI,677,400
2026-01-22,P001,WH_CHI,1036,350
2026-01-22,P002,WH_CHI,1352,300
2026-01-22,P003,WH_NJ,904,350
2026-01-22,P004,WH_NJ,739,250
2026-01-22,P005,WH_DAL,859,300
2026-01-22,P006,WH_NJ,1202,350
2026-01-22,P007,WH_CHI,757,250
2026-01-22,P008,WH_NJ,724,300
2026-01-25,P001,WH_DAL,793,400
2026-01-25,P002,WH_DAL,690,250
2026-01-25,P003,WH_CHI,926,400
2026-01-25,P004,WH_NJ,1257,300
2026-01-25,P005,WH_LAX,971,400
2026-01-25,P006,WH_DAL,844,350
2026-01-25,P007,WH_CHI,835,250
2026-01-25,P008,WH_NJ,556,350
2026-01-28,P001,WH_DAL,1094,350
2026-01-28,P002,WH_CHI,882,350
2026-01-28,P003,WH_CHI,860,300
2026-01-28,P004,WH_NJ,1602,300
2026-01-28,P005,WH_CHI,965,350
2026-01-28,P006,WH_LAX,734,300
2026-01-28,P007,WH_NJ,806,250
2026-01-28,P008,WH_CHI,1152,300
2026-01-31,P001,WH_NJ,924,250
2026-01-31,P002,WH_LAX,583,300
2026-01-31,P003,WH_DAL,1102,250
2026-01-31,P004,WH_NJ,753,300
2026-01-31,P005,WH_LAX,1312,250
2026-01-31,P006,WH_CHI,1137,250
2026-01-31,P007,WH_DAL,801,350
2026-01-31,P008,WH_DAL,1181,250
2026-02-03,P001,WH_DAL,914,400
2026-02-03,P002,WH_LAX,1087,350
2026-02-03,P003,WH_DAL,1006,400
2026-02-03,P004,WH_NJ,713,250
2026-02-03,P005,WH_DAL,758,350
2026-02-03,P006,WH_CHI,1126,350
2026-02-03,P007,WH_NJ,826,400
2026-02-03,P008,WH_NJ,811,350
2026-02-06,P001,WH_DAL,689,300
2026-02-06,P002,WH_LAX,993,350
2026-02-06,P003,WH_LAX,1353,400
2026-02-06,P004,WH_CHI,665,300
2026-02-06,P005,WH_NJ,905,300
2026-02-06,P006,WH_LAX,1210,350
2026-02-06,P007,WH_NJ,882,350
2026-02-06,P008,WH_NJ,999,250
2026-02-09,P001,WH_CHI,666,300
2026-02-09,P002,WH_DAL,994,350
2026-02-09,P003,WH_CHI,858,350
2026-02-09,P004,WH_DAL,1116,400
2026-02-09,P005,WH_DAL,1161,400
2026-02-09,P006,WH_LAX,1469,350
2026-02-09,P007,WH_LAX,1027,400
2026-02-09,P008,WH_CHI,971,250
2026-02-12,P001,WH_CHI,942,250
2026-02-12,P002,WH_DAL,822,300
2026-02-12,P003,WH_DAL,974,250
2026-02-12,P004,WH_NJ,835,250
2026-02-12,P005,WH_CHI,937,300
2026-02-12,P006,WH_NJ,1189,250
2026-02-12,P007,WH_LAX,678,400
2026-02-12,P008,WH_LAX,1150,250
2026-02-15,P001,WH_CHI,1189,300
2026-02-15,P002,WH_DAL,874,250
2026-02-15,P003,WH_CHI,433,400
2026-02-15,P004,WH_CHI,766,400
2026-02-15,P005,WH_NJ,1185,350
2026-02-15,P006,WH_CHI,894,350
2026-02-15,P007,WH_CHI,680,350
2026-02-15,P008,WH_LAX,788,250
2026-02-18,P001,WH_DAL,1084,250
2026-02-18,P002,WH_CHI,1020,250
2026-02-18,P003,WH_NJ,847,300
2026-02-18,P004,WH_DAL,819,300
2026-02-18,P005,WH_DAL,813,300
2026-02-18,P006,WH_CHI,697,400
2026-02-18,P007,WH_NJ,1255,350
2026-02-18,P008,WH_CHI,829,400
2026-02-21,P001,WH_DAL,1167,300
2026-02-21,P002,WH_LAX,1234,400
2026-02-21,P003,WH_NJ,1119,300
2026-02-21,P004,WH_LAX,805,350
2026-02-21,P005,WH_LAX,988,350
2026-02-21,P006,WH_NJ,894,400
2026-02-21,P007,WH_DAL,701,350
2026-02-21,P008,WH_NJ,971,300
2026-02-24,P001,WH_LAX,640,350
2026-02-24,P002,WH_NJ,1161,400
2026-02-24,P003,WH_CHI,797,400
2026-02-24,P004,WH_LAX,944,250
2026-02-24,P005,WH_DAL,962,250
2026-02-24,P006,WH_CHI,843,350
2026-02-24,P007,WH_DAL,1029,350
2026-02-24,P008,WH_LAX,795,300
2026-02-27,P001,WH_LAX,1091,250
2026-02-27,P002,WH_CHI,603,300
2026-02-27,P003,WH_NJ,927,250
2026-02-27,P004,WH_DAL,1326,350
2026-02-27,P005,WH_LAX,679,300
2026-02-27,P006,WH_DAL,750,350
2026-02-27,P007,WH_LAX,1013,300
2026-02-27,P008,WH_CHI,939,350
2026-03-02,P001,WH_DAL,977,400
2026-03-02,P002,WH_LAX,1007,250
2026-03-02,P003,WH_DAL,1039,400
2026-03-02,P004,WH_CHI,1144,400
2026-03-02,P005,WH_CHI,990,350
2026-03-02,P006,WH_CHI,846,400
2026-03-02,P007,WH_LAX,1047,250
2026-03-02,P008,WH_NJ,1317,350
2026-03-05,P001,WH_CHI,870,400
2026-03-05,P002,WH_CHI,685,300
2026-03-05,P003,WH_CHI,1143,400
2026-03-05,P004,WH_CHI,873,350
2026-03-05,P005,WH_DAL,422,350
2026-03-05,P006,WH_DAL,1086,350
2026-03-05,P007,WH_CHI,782,300
2026-03-05,P008,WH_NJ,880,400
2026-03-08,P001,WH_DAL,973,250
2026-03-08,P002,WH_LAX,941,400
2026-03-08,P003,WH_DAL,1056,400
2026-03-08,P004,WH_LAX,804,300
2026-03-08,P005,WH_NJ,1012,250
2026-03-08,P006,WH_NJ,842,250
2026-03-08,P007,WH_CHI,1062,350
2026-03-08,P008,WH_NJ,1035,400
2026-03-11,P001,WH_DAL,694,300
2026-03-11,P002,WH_DAL,1138,400
2026-03-11,P003,WH_NJ,782,400
2026-03-11,P004,WH_DAL,1077,300
2026-03-11,P005,WH_CHI,980,300
2026-03-11,P006,WH_NJ,1304,350
2026-03-11,P007,WH_CHI,850,350
2026-03-11,P008,WH_NJ,823,250
2026-03-14,P001,WH_LAX,895,400
2026-03-14,P002,WH_DAL,833,350
2026-03-14,P003,WH_LAX,1075,350
2026-03-14,P004,WH_LAX,544,250
2026-03-14,P005,WH_LAX,668,300
2026-03-14,P006,WH_DAL,665,400
2026-03-14,P007,WH_CHI,1109,400
2026-03-14,P008,WH_DAL,1276,300
2026-03-17,P001,WH_DAL,877,350
2026-03-17,P002,WH_CHI,862,250
2026-03-17,P003,WH_DAL,915,250
2026-03-17,P004,WH_LAX,1155,300
2026-03-17,P005,WH_LAX,695,250
2026-03-17,P006,WH_LAX,952,250
2026-03-17,P007,WH_NJ,1114,400
2026-03-17,P008,WH_LAX,1010,250
2026-03-20,P001,WH_DAL,941,300
2026-03-20,P002,WH_LAX,1120,300
2026-03-20,P003,WH_DAL,305,400
2026-03-20,P004,WH_NJ,1049,250
2026-03-20,P005,WH_LAX,756,250
2026-03-20,P006,WH_CHI,497,300
2026-03-20,P007,WH_DAL,1012,350
2026-03-20,P008,WH_CHI,1202,350
2026-03-23,P001,WH_CHI,869,400
2026-03-23,P002,WH_NJ,1109,250
2026-03-23,P003,WH_LAX,1254,350
2026-03-23,P004,WH_CHI,1189,250
2026-03-23,P005,WH_NJ,1260,350
2026-03-23,P006,WH_NJ,1063,300
2026-03-23,P007,WH_LAX,916,250
2026-03-23,P008,WH_CHI,547,400
2026-03-26,P001,WH_DAL,845,300
2026-03-26,P002,WH_CHI,714,400
2026-03-26,P003,WH_DAL,1377,250
2026-03-26,P004,WH_LAX,861,350
2026-03-26,P005,WH_NJ,927,400
2026-03-26,P006,WH_CHI,1021,300
2026-03-26,P007,WH_LAX,909,350
2026-03-26,P008,WH_LAX,1272,350
2026-03-29,P001,WH_LAX,763,300
2026-03-29,P002,WH_LAX,942,250
2026-03-29,P003,WH_CHI,736,400
2026-03-29,P004,WH_DAL,609,350
2026-03-29,P005,WH_LAX,765,300
2026-03-29,P006,WH_DAL,891,400
2026-03-29,P007,WH_NJ,805,250
2026-03-29,P008,WH_NJ,747,300
