order_id,order_date,product_id,customer_segment,region,warehouse_id,quantity,unit_price,unit_cost,planned_delivery_days,actual_delivery_days,carrier,order_status
ORD00001,2026-03-23,P002,Education,Midwest,WH_CHI,97.0,23.37,13.73,2,3.0,Internal Fleet,Delivered
ORD00002,2026-01-12,P007,Retail,Midwest,WH_CHI,75.0,12.03,7.37,6,6.0,FedEx,Delivered
ORD00003,2026-03-13,P004,Healthcare,Northeast,WH_NJ,135.0,38.69,24.19,2,2.0,UPS,Delayed
ORD00004,2026-03-31,P007,Education,West,WH_LAX,106.0,16.66,13.47,4,5.0,FedEx,Delivered
ORD00005,2026-01-12,P007,Education,Midwest,WH_CHI,63.0,68.56,48.88,2,2.0,Regional Carrier,Delivered
ORD00006,2026-03-10,P002,Retail,Northeast,WH_NJ,63.0,46.4,35.91,6,6.0,,Delivered
ORD00007,2026-03-15,P004,Retail,Midwest,WH_CHI,44.0,54.59,41.42,2,2.0,UPS,Delivered
ORD00008,2026-01-13,P007,Government,West,WH_LAX,90.0,52.68,34.16,4,4.0,DHL,Delivered
ORD00009,2026-01-27,P005,Distribution,Midwest,WH_CHI,82.0,52.62,36.53,3,3.0,UPS,Delivered
ORD00010,2026-03-01,P007,Distribution,West,WH_LAX,30.0,21.47,13.69,2,2.0,UPS,Delivered
ORD00011,2026-01-05,P006,Education,Northeast,WH_NJ,58.0,9.96,7.93,6,6.0,DHL,Delivered
ORD00012,2026-01-28,P008,Government,Northeast,WH_NJ,69.0,15.72,9.24,6,6.0,Internal Fleet,Delivered
ORD00013,2026-02-03,P007,Education,Northeast,WH_NJ,108.0,21.45,17.57,6,6.0,Regional Carrier,Delivered
ORD00014,2026-01-12,P001,Healthcare,Midwest,WH_CHI,37.0,52.06,39.77,5,5.0,Internal Fleet,Delivered
ORD00015,2026-01-09,P007,Distribution,Northeast,WH_NJ,105.0,79.71,55.23,6,6.0,FedEx,Delivered
ORD00016,2026-03-29,P002,Education,West,WH_LAX,85.0,13.37,8.92,5,5.0,FedEx,Delivered
ORD00017,2026-02-03,P003,Education,Midwest,WH_CHI,28.0,68.13,46.81,3,4.0,UPS,Delivered
ORD00018,2026-02-17,P003,Distribution,Midwest,WH_CHI,54.0,29.31,16.27,4,4.0,DHL,Delivered
ORD00019,2026-01-31,P001,Distribution,South,WH_DAL,91.0,76.02,43.57,5,,FedEx,Cancelled
ORD00020,2026-03-10,P003,Government,South,WH_DAL,66.0,76.01,45.19,6,7.0,Internal Fleet,Delivered
ORD00021,2026-02-24,P004,Education,South,WH_DAL,116.0,34.92,25.54,4,5.0,Regional Carrier,Delivered
ORD00022,2026-03-08,P008,Healthcare,Midwest,WH_CHI,112.0,21.85,14.01,6,6.0,Internal Fleet,Delivered
ORD00023,2026-01-30,P004,Retail,Midwest,WH_CHI,91.0,58.09,32.87,2,,FedEx,Delivered
ORD00024,2026-02-12,P002,Education,South,WH_DAL,114.0,55.17,33.53,3,3.0,Internal Fleet,Delivered
ORD00025,2026-03-15,P008,Government,South,WH_DAL,108.0,65.56,39.43,2,4.0,Regional Carrier,Delivered
ORD00026,2026-02-15,P007,Government,Northeast,WH_NJ,127.0,69.79,39.41,2,2.0,FedEx,Delivered
ORD00027,2026-02-21,P006,Healthcare,Midwest,WH_CHI,92.0,19.37,13.46,3,4.0,Regional Carrier,Delivered
ORD00028,2026-01-24,P005,Healthcare,Northeast,WH_NJ,133.0,70.59,40.26,6,6.0,FedEx,Delivered
ORD00029,2026-01-07,P001,Healthcare,Midwest,WH_CHI,83.0,17.47,11.9,3,3.0,Regional Carrier,Delivered
ORD00030,2026-01-08,P003,Retail,Northeast,WH_NJ,69.0,78.9,49.04,5,7.0,DHL,Delivered
ORD00031,2026-02-24,P008,Healthcare,South,WH_DAL,131.0,27.25,22.11,6,6.0,Internal Fleet,Delivered
ORD00032,2026-01-08,P006,Retail,Midwest,WH_CHI,61.0,48.81,33.47,6,6.0,UPS,Delivered
ORD00033,2026-01-08,P002,Retail,South,WH_DAL,112.0,49.63,36.34,3,4.0,Regional Carrier,Delivered
